English Name,Korean Translation
Egg McMuffin,에그 맥머핀
Egg White Delight,달걀 흰자 딜라이트
Sausage McMuffin,소시지 맥머핀
Sausage McMuffin with Egg,소시지 맥머핀과 계란
Sausage McMuffin with Egg Whites,달걀 흰자를 곁들인 소시지 맥머핀
Steak & Egg McMuffin,스테이크 & 에그 맥머핀
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)","베이컨, 에그 & 치즈 비스킷 (일반 비스킷)"
"Bacon, Egg & Cheese Biscuit (Large Biscuit)","베이컨, 에그 & 치즈 비스킷 (라지 비스킷)"
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)","베이컨, 달걀, 치즈와 달걀 흰자 비스킷 (일반 비스킷)"
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)","베이컨, 달걀, 치즈와 달걀 흰자 비스킷 (라지 비스킷)"
Sausage Biscuit (Regular Biscuit),소시지 비스킷 (일반 비스킷)
Sausage Biscuit (Large Biscuit),소시지 비스킷 (라지 비스킷)
Sausage Biscuit with Egg (Regular Biscuit),계란 소시지 비스킷 (일반 비스킷)
Sausage Biscuit with Egg (Large Biscuit),계란 소시지 비스킷 (라지 비스킷)
Sausage Biscuit with Egg Whites (Regular Biscuit),달걀흰자 소시지 비스킷 (일반 비스킷)
Sausage Biscuit with Egg Whites (Large Biscuit),달걀흰자 소시지 비스킷 (라지 비스킷)
Southern Style Chicken Biscuit (Regular Biscuit),남부 스타일 치킨 비스킷 (일반 비스킷)
Southern Style Chicken Biscuit (Large Biscuit),남부 스타일 치킨 비스킷 (라지 비스킷)
Steak & Egg Biscuit (Regular Biscuit),스테이크 & 에그 비스킷 (일반 비스킷)
"Bacon, Egg & Cheese McGriddles","베이컨, 에그 & 치즈 맥그리들"
"Bacon, Egg & Cheese McGriddles with Egg Whites","달걀 흰자를 곁들인 베이컨, 달걀, 치즈 맥그리들"
Sausage McGriddles,소시지 맥그리들
"Sausage, Egg & Cheese McGriddles","소시지, 에그 & 치즈 맥그리들"
